rent_id,user_id,model_id,plan_id,start_date,end_date,next_payment_date,status,deposit_amount,outstanding_due,created_at
1,1,1,4,2024-01-01,NULL,NULL,active,8000.00,26400.00,"2025-12-21 23:59:49"
2,2,2,2,2024-01-10,NULL,NULL,active,5000.00,15000.00,"2025-12-21 23:59:49"
3,3,3,3,2024-02-01,NULL,NULL,active,7000.00,20700.00,"2025-12-21 23:59:49"
4,4,4,1,2024-02-15,NULL,NULL,active,3000.00,9000.00,"2025-12-21 23:59:49"
5,5,5,6,2024-03-01,NULL,NULL,active,10000.00,36000.00,"2025-12-21 23:59:49"
6,6,6,5,2024-03-10,NULL,NULL,active,9000.00,31500.00,"2025-12-21 23:59:49"
7,7,7,7,2024-04-01,NULL,NULL,active,4000.00,12000.00,"2025-12-21 23:59:49"
8,8,8,8,2024-04-10,NULL,NULL,active,8500.00,28800.00,"2025-12-21 23:59:49"
9,9,9,9,2024-05-01,NULL,NULL,active,12000.00,43200.00,"2025-12-21 23:59:49"
10,10,10,10,2024-05-10,NULL,NULL,active,4500.00,11400.00,"2025-12-21 23:59:49"
